-23,25,-19,-15,10,-4,-8,-23,5,20,-18,0,24,-19,-10,-31,
2,12,1,6,1,-21,9,7,14,20,-17,22,28,4,16,-14,
10,1,8,16,-7,-41,5,17,6,2,-17,18,15,7,21,-9,
16,-1,4,21,-16,-41,0,14,20,-7,-22,10,14,10,16,-3,
14,-10,0,14,-13,-17,0,12,24,-8,-19,-4,23,6,10,0,
12,-21,6,12,-7,5,18,18,13,1,-15,-3,17,14,10,10,
13,-27,6,6,-9,3,32,16,16,-4,-28,11,4,21,6,25,
9,-29,15,3,-12,-7,19,21,-2,-9,-34,19,6,23,9,15,
-4,-20,16,2,-15,-15,-1,9,-20,-15,-27,13,10,15,7,5,
8,-4,12,17,-12,-16,-6,10,-28,-20,-29,21,4,12,18,5,
20,6,9,24,-16,-19,0,12,-28,-21,-31,12,5,2,21,5,
17,10,6,22,-4,-17,4,15,-23,-15,-20,5,23,2,19,0,
16,-2,6,13,-1,-13,17,15,-24,-12,-10,7,20,11,19,0,
18,-15,4,6,-12,-9,28,13,-12,-34,-22,21,5,21,10,10,
9,-24,-3,1,-17,-6,12,11,10,-45,-18,14,-7,14,6,11,
14,-21,0,7,-4,-11,2,8,28,-37,-1,2,-11,17,9,14,
19,-21,10,23,-5,-7,-8,24,18,-28,-5,-6,12,19,8,25,
16,-19,4,22,-5,-4,3,21,16,-18,-14,-2,14,5,11,7,
8,-8,19,20,-7,0,13,20,12,-20,-20,6,10,8,22,4,
5,-13,15,16,-5,5,18,13,0,-32,-25,25,6,14,24,-2,
-5,-11,8,0,-3,-6,13,4,-6,-33,-9,24,6,4,15,-11,
6,-16,1,1,-23,-25,15,14,-2,-28,-8,20,14,15,22,2,
7,-12,-1,-1,-23,-22,-4,18,0,-18,-17,10,0,14,18,16,
8,-7,-6,-4,-39,-20,-14,11,-13,-14,-13,-5,3,19,16,22,
15,-9,7,10,-49,-11,2,11,18,0,-16,-9,4,23,21,9,
23,-15,20,14,-58,-4,12,15,13,-6,-20,1,6,23,15,1,
26,-12,23,26,-47,-8,21,20,10,-6,-26,9,11,14,7,-7,
22,-11,25,28,-27,-13,27,30,2,-2,-25,14,18,11,10,-4,
0,-18,15,9,-17,-18,17,20,-18,1,-26,20,10,6,5,15,
-16,-26,-7,-8,-10,-12,-8,1,-28,-2,-29,9,5,7,9,17,
-6,-28,-9,0,-2,-10,-11,3,-21,-5,-19,17,11,15,20,27,
12,-28,-3,13,0,0,-11,4,-17,-11,-12,15,14,14,28,25,
11,-17,0,9,-1,10,-11,-1,-13,-7,-9,25,-1,9,8,22,
6,-2,0,4,4,12,-13,-3,-3,4,-4,25,-30,9,0,17,
13,-23,8,7,2,17,1,14,11,3,0,24,-28,7,13,25,
0,-31,0,1,0,32,4,1,17,-1,4,13,-28,-14,-1,16,
4,-31,-6,5,-3,37,10,2,14,-8,1,5,-32,-14,-2,6,
7,-26,-2,6,-9,36,16,4,5,-18,8,7,-19,-6,4,-2,
17,-19,0,13,-6,32,26,8,4,-17,6,14,-10,11,12,5,
12,-10,-6,7,-4,25,22,-1,4,-8,11,12,-15,5,8,6,
