9761,10022,9987,9823,9999,9815,9829,10104,9842,9850,
9091,9775,10078,9993,9072,9934,9943,9429,9980,9283,
9942,9937,10051,9941,9938,9947,9940,9945,9945,9950,
9935,9937,9948,9939,9944,10061,9938,9961,9949,9941,
10290,9567,9655,9814,7709,10052,9591,9967,9372,9584,
8837,10264,9785,9302,9165,9220,9545,8805,9550,9072,
9939,9962,9945,9952,10052,9965,9949,9945,9951,9962,
8909,9439,8687,9947,10239,9651,8904,9954,9347,10117,
10048,9931,9944,9946,9955,9944,9948,9928,9947,9951,
9958,10047,9965,9958,9952,9940,9939,9952,9946,9933,
9941,9936,9930,9928,9956,10053,9941,9949,9942,9960,
9938,9929,9943,9954,9925,10053,9922,9924,9931,9944,
9968,10031,9949,9948,9963,9947,9938,9944,9948,9962,
6503,10029,8795,8662,9233,8781,8979,9373,9135,9125,
9934,9935,9950,9933,9957,10057,9938,9930,9952,9937,
10033,9938,9962,9936,9951,9943,9944,9942,9942,9942,
